task,occupation,paper_count,paper_ids
Estimate time and materials needed to complete projects.,Computer Network Architects,79,"2302.04761,2303.17491,2304.04370,2304.08244,2307.07924,2308.08155,2308.11601,2308.12086,2309.11436,2310.08740,2310.20151,2312.06677,2312.17025,2401.02777,2402.05733,2402.10178,2402.11489,2402.12275,2402.14672,2402.16823,2402.17531,2403.00820,2403.03031,2403.04123,2403.17246,2404.01744,2404.13050,2405.04219,2405.13021,2405.15793,2405.16510,2405.16533,2405.17441,2406.02818,2406.06799,2406.07080,2406.07155,2406.10958,2406.11555,2406.13840,2407.12871,2407.14402,2408.01380,2408.06520,2409.00608,2409.07429,2409.09584,2409.12411,2409.13753,2410.02810,2410.03439,2410.08164,2410.09252,2410.18963,2411.01643,2411.03397,2411.08432,2411.14484,2412.00652,2412.15701,2412.17867,2501.00224,2501.04575,2501.05255,2501.07813,2502.02534,2502.04306,2502.04392,2502.07373,2502.07487,2502.11271,2503.02519,2503.03686,2503.09572,2503.22473,2504.02128,2504.02670,2504.07830,2504.12477"
"Estimate time for debt repayment, given amount of debt, interest rates, and available funds.",Credit Counselors,18,"2308.05361,2311.09721,2312.12009,2401.05799,2407.06567,2408.15879,2410.00031,2410.21741,2411.18915,2412.18690,2501.15056,2502.05439,2502.18228,2502.18471,2503.21080,2504.05104,2504.05862,2504.16918"
Evaluate analytical methods and procedures to determine how they might be improved.,Quality Control Analysts,117,"2304.09842,2304.14721,2305.16653,2306.07209,2307.07697,2308.12923,2310.00280,2310.02118,2310.02170,2311.00416,2311.06622,2311.08803,2312.13876,2401.04259,2401.05507,2401.06201,2402.02643,2402.12914,2402.17879,2403.02502,2403.04382,2403.15729,2403.18802,2403.19305,2404.05569,2404.07738,2404.13050,2404.17525,2405.14125,2405.16247,2405.20267,2406.03075,2406.10958,2406.12692,2406.13163,2406.15363,2406.16714,2406.19228,2407.15073,2407.21040,2408.06292,2408.09785,2408.14033,2408.14307,2408.15512,2408.16081,2409.03256,2409.03440,2409.14913,2409.15364,2409.16783,2410.07677,2410.07706,2410.09034,2410.09403,2410.10871,2410.12848,2410.17238,2410.20007,2410.22584,2410.24032,2411.00784,2411.01114,2411.07464,2411.11910,2411.14484,2411.14497,2411.18915,2411.19539,2412.02205,2412.04141,2412.06724,2412.09429,2412.10510,2412.14161,2412.15701,2412.16172,2412.17149,2501.00224,2501.01205,2501.02031,2501.08406,2502.00988,2502.01344,2502.04392,2502.05439,2502.07373,2502.11404,2502.11799,2502.12767,2502.14499,2502.17924,2502.17967,2502.19279,2502.20301,2503.02519,2503.07044,2503.09572,2503.11664,2503.16024,2503.16505,2503.18666,2503.21735,2503.23314,2504.00406,2504.03174,2504.05104,2504.07385,2504.08066,2504.09737,2504.09781,2504.10036,2504.12322,2504.13472,2504.14597,2504.14822,2504.14928"
"Evaluate and grade students' class work, assignments, and papers.","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",41,"2304.00116,2304.09842,2306.07209,2308.05935,2309.08112,2309.12161,2310.01420,2401.04259,2402.06634,2402.09216,2402.11451,2403.19305,2404.06762,2404.17460,2405.17402,2406.02818,2406.11176,2406.11709,2406.12708,2406.19226,2407.21170,2409.03512,2409.07372,2409.07429,2409.08406,2409.12411,2410.02165,2410.09403,2410.19848,2411.05423,2411.07407,2412.06412,2412.10415,2412.18093,2501.00224,2502.14767,2503.04629,2503.08506,2504.01911,2504.09737,2504.14928"
"Evaluate and grade students' class work, assignments, and papers.","Business Teachers, Postsecondary",58,"2308.05935,2309.08112,2309.12161,2309.12309,2310.01420,2310.02118,2310.05029,2401.04259,2402.09216,2402.12556,2402.14207,2403.02574,2403.19305,2404.06762,2404.07963,2404.17460,2405.00273,2405.20267,2406.02795,2406.03486,2406.12708,2406.19226,2406.19643,2407.12861,2407.21170,2408.08688,2408.15232,2409.03512,2409.07372,2409.08406,2409.09662,2409.14913,2409.15376,2409.19006,2409.19338,2410.01555,2410.02165,2410.22932,2411.00816,2411.05423,2411.07407,2412.10415,2412.14161,2412.18093,2501.06189,2501.09993,2502.12568,2502.13311,2502.14767,2502.15412,2502.18673,2503.04629,2503.08275,2503.08506,2504.02867,2504.07385,2504.09737,2504.14928"
"Evaluate and grade students' class work, assignments, and papers.","Communications Teachers, Postsecondary",59,"2308.05935,2309.08112,2309.12161,2309.12309,2310.01420,2310.03293,2310.17749,2311.00262,2311.07076,2401.04259,2402.01750,2402.03719,2402.05547,2402.06634,2402.09216,2402.12556,2403.02574,2403.13433,2403.19305,2404.06762,2404.07963,2404.17460,2406.02795,2406.03486,2406.19226,2406.19643,2407.21170,2408.04472,2409.00557,2409.03512,2409.08406,2409.09662,2410.01555,2410.02165,2410.07561,2410.21784,2411.00816,2411.06159,2411.07407,2412.06229,2412.10415,2412.15701,2501.06189,2501.09993,2501.15056,2502.07165,2502.12568,2502.14767,2502.18673,2503.00162,2503.04629,2503.08275,2503.08506,2503.14484,2504.00824,2504.02867,2504.02965,2504.09737,2504.14928"
"Evaluate and grade students' class work, assignments, and papers.","Economics Teachers, Postsecondary",20,"2308.05935,2309.08112,2401.04259,2402.04559,2404.07738,2406.19226,2407.06567,2407.21170,2409.03512,2409.08406,2409.12411,2410.00354,2410.02165,2411.06159,2411.07407,2412.10415,2502.14767,2503.08506,2504.00824,2504.16728"
"Evaluate and grade students' class work, assignments, and papers.","Education Teachers, Postsecondary",78,"2306.09299,2308.05935,2309.08112,2309.12161,2309.12309,2310.01420,2310.10467,2310.17749,2401.04259,2402.03719,2402.05547,2402.06634,2402.09216,2402.11451,2402.12326,2402.12556,2402.14207,2403.02574,2403.04382,2403.13433,2404.06762,2404.07738,2404.07963,2404.17460,2405.00273,2405.13034,2405.18113,2405.19425,2406.02795,2406.03486,2406.11709,2406.19226,2406.19643,2407.12861,2407.21170,2408.15232,2409.03512,2409.07372,2409.08406,2409.09662,2409.12411,2409.15376,2409.18924,2410.01555,2410.02165,2410.11507,2410.24032,2411.00816,2411.05423,2411.06159,2411.07407,2412.10415,2412.11716,2412.15701,2412.16844,2412.18093,2501.06189,2502.01390,2502.07165,2502.10937,2502.11799,2502.13311,2502.14767,2502.18673,2502.18873,2502.19400,2502.19500,2503.00162,2503.04629,2503.05793,2503.08275,2503.08506,2503.11346,2503.15272,2504.00824,2504.02867,2504.09737,2504.14928"
"Evaluate and grade students' class work, assignments, and papers.","Geography Teachers, Postsecondary",74,"2305.13829,2306.09299,2308.05935,2309.08112,2309.12161,2310.01420,2310.10467,2401.04259,2402.01698,2402.03719,2402.06634,2402.07204,2402.09216,2402.11451,2402.12326,2402.14207,2402.14744,2403.02574,2403.04382,2403.13433,2404.06762,2404.07738,2404.07963,2404.17460,2405.13034,2405.18113,2405.19425,2406.02795,2406.03486,2406.11709,2406.19226,2406.19643,2407.11014,2407.21170,2408.05346,2408.15232,2409.03512,2409.07372,2409.08406,2409.09662,2409.12411,2409.18924,2410.01555,2410.02165,2410.18792,2410.24032,2411.00816,2411.05423,2411.06159,2411.07407,2412.10415,2412.11716,2412.16844,2501.06189,2502.01390,2502.07165,2502.10937,2502.11799,2502.13311,2502.14767,2502.18673,2502.19400,2502.19500,2503.00162,2503.04629,2503.05793,2503.08275,2503.08506,2503.11346,2503.15272,2504.00824,2504.02867,2504.09737,2504.14928"
"Evaluate and grade students' class work, assignments, and papers.","Library Science Teachers, Postsecondary",48,"2304.09842,2306.16092,2308.05935,2309.08112,2310.00280,2310.01420,2310.05029,2310.05915,2401.04259,2402.09205,2402.11534,2402.14207,2403.02574,2403.19305,2404.07738,2404.17460,2405.12035,2406.17231,2407.12861,2407.21170,2408.06458,2408.15232,2408.15836,2409.03512,2409.07372,2409.07497,2409.08406,2410.02165,2410.09403,2410.13185,2410.22932,2411.00816,2411.06159,2411.07407,2412.10415,2412.14161,2412.18093,2501.02348,2501.05464,2501.09993,2502.10937,2502.14767,2502.18873,2503.08506,2503.11346,2503.14484,2504.00824,2504.09737"
"Evaluate and grade students' class work, assignments, and papers.","Mathematical Science Teachers, Postsecondary",90,"2306.01337,2308.05935,2308.08155,2309.08112,2309.12161,2309.17452,2310.01420,2310.01627,2310.10686,2310.19998,2311.08166,2311.08803,2312.07559,2312.08926,2401.04259,2401.17244,2401.17464,2402.09216,2402.10890,2402.11451,2402.11534,2402.13547,2402.14207,2402.17879,2403.04382,2404.04735,2404.07738,2404.07963,2404.14394,2406.11176,2406.11709,2406.17987,2406.19226,2407.12821,2407.12861,2407.21170,2408.01779,2408.06292,2408.14033,2408.15232,2408.15512,2408.15836,2409.00054,2409.00135,2409.03512,2409.05556,2409.07372,2409.12411,2409.14913,2409.15376,2410.01428,2410.02165,2410.08475,2410.09034,2410.09403,2410.12853,2410.13185,2410.18032,2411.00816,2411.01114,2411.05423,2411.07407,2411.11910,2411.18915,2412.01752,2412.10415,2501.00224,2501.04227,2501.05468,2502.00988,2502.04392,2502.04644,2502.09858,2502.11799,2502.13311,2502.14767,2502.18873,2502.19400,2503.04875,2503.13524,2503.18102,2503.22708,2504.00406,2504.00824,2504.08066,2504.09781,2504.14597,2504.14928,2504.16918,2504.17192"
"Evaluate and grade students' class work, assignments, and papers.","Political Science Teachers, Postsecondary",55,"2305.13829,2306.09299,2308.05935,2309.08112,2309.12161,2309.12309,2311.17227,2401.04259,2402.01788,2402.03719,2402.04559,2402.06634,2402.09216,2402.09727,2402.11712,2402.12212,2403.02574,2403.09498,2403.17359,2403.19305,2404.06762,2404.07963,2405.02858,2406.02795,2406.14373,2406.17987,2406.18702,2406.19226,2406.19643,2407.21170,2408.15232,2409.03512,2409.08406,2410.02165,2410.20746,2411.00816,2411.06159,2411.07407,2412.06229,2412.07144,2412.10415,2501.05468,2502.04485,2502.10937,2502.11799,2502.14767,2503.08506,2503.13524,2503.14484,2503.15272,2504.00824,2504.02867,2504.07385,2504.09737,2504.14928"
"Evaluate and grade students' class work, laboratory work, assignments, and papers.","Computer Science Teachers, Postsecondary",336,"2302.04761,2302.06692,2304.04370,2304.08103,2304.08244,2305.05091,2305.08844,2305.09067,2305.11598,2305.13660,2305.13829,2305.14992,2305.15017,2305.17066,2305.19118,2306.03460,2306.07209,2306.09299,2307.06187,2307.07924,2308.05935,2308.10144,2308.11601,2309.08112,2309.08172,2309.12161,2309.17176,2309.17452,2310.01420,2310.01444,2310.02124,2310.02170,2310.03714,2310.04406,2310.05036,2310.05146,2310.05746,2310.05915,2310.06272,2310.08535,2310.09233,2310.13227,2310.16427,2310.17749,2310.19998,2311.06622,2311.07076,2311.08803,2311.09510,2311.09721,2311.09818,2311.17371,2312.03664,2312.07540,2312.07559,2312.08926,2312.11671,2312.13010,2312.17025,2401.01614,2401.04259,2401.05507,2401.06201,2401.07324,2401.13919,2401.14151,2401.15724,2401.16158,2401.16788,2402.01030,2402.01521,2402.01788,2402.07401,2402.09216,2402.09727,2402.10051,2402.10178,2402.11359,2402.11451,2402.11712,2402.11941,2402.12275,2402.13547,2402.14658,2402.15809,2402.17505,2403.01248,2403.02502,2403.02574,2403.04382,2403.04746,2403.05534,2403.06221,2403.11886,2403.11905,2403.15371,2403.16854,2403.19305,2403.19322,2404.01744,2404.06413,2404.06762,2404.07103,2404.07439,2404.07677,2404.07963,2404.09339,2404.13050,2404.14394,2404.17460,2404.18130,2405.00273,2405.00516,2405.04219,2405.05955,2405.13021,2405.13034,2405.15784,2405.15793,2405.16510,2405.17402,2405.18113,2405.19425,2405.19487,2405.20252,2405.20267,2406.02818,2406.03486,2406.04151,2406.04712,2406.06799,2406.07080,2406.07115,2406.10803,2406.11277,2406.11514,2406.11709,2406.11776,2406.12276,2406.12639,2406.12692,2406.13840,2406.14550,2406.18082,2406.18532,2406.19226,2407.01887,2407.03956,2407.05674,2407.09886,2407.09893,2407.10718,2407.12821,2407.12871,2407.13943,2407.14402,2407.15711,2407.16741,2407.20183,2407.21170,2408.01779,2408.03615,2408.04472,2408.05346,2408.06292,2408.06520,2408.06849,2408.07060,2408.08926,2408.15232,2408.16081,2409.00135,2409.00985,2409.01392,2409.03166,2409.03512,2409.05556,2409.07372,2409.07497,2409.08406,2409.09662,2409.12147,2409.12411,2409.13740,2409.13753,2409.14051,2409.15376,2409.16120,2410.01215,2410.01428,2410.02089,2410.02165,2410.02810,2410.03439,2410.04452,2410.04753,2410.06153,2410.07706,2410.08164,2410.08475,2410.08632,2410.09403,2410.11507,2410.13757,2410.14141,2410.14251,2410.14262,2410.14594,2410.18032,2410.18792,2410.18963,2410.20007,2410.21784,2410.22457,2410.22584,2410.22932,2410.23022,2410.24032,2411.00028,2411.00816,2411.01114,2411.01643,2411.02337,2411.03817,2411.04535,2411.05990,2411.06159,2411.07407,2411.07464,2411.07656,2411.10753,2411.13451,2411.15004,2412.04141,2412.10415,2412.10434,2412.11713,2412.13471,2412.14161,2412.15701,2412.16682,2412.17061,2412.18072,2412.18093,2412.18351,2412.19723,2412.20735,2412.21139,2501.00830,2501.01702,2501.02348,2501.04575,2501.05255,2501.05468,2501.08406,2501.11107,2501.11613,2501.12539,2501.14082,2501.14731,2501.16607,2501.17104,2502.00988,2502.01390,2502.02533,2502.04376,2502.04644,2502.05664,2502.05957,2502.07165,2502.07373,2502.10937,2502.11271,2502.11404,2502.11705,2502.11799,2502.12486,2502.12568,2502.12767,2502.12929,2502.13025,2502.13127,2502.13311,2502.14499,2502.14767,2502.15690,2502.15920,2502.15964,2502.17924,2502.18873,2502.19400,2502.21087,2503.00162,2503.00566,2503.01829,2503.02197,2503.02628,2503.02682,2503.03205,2503.04629,2503.04875,2503.05641,2503.07044,2503.08275,2503.08506,2503.09572,2503.13524,2503.13553,2503.14484,2503.16024,2503.16874,2503.18492,2503.18494,2503.18891,2503.19271,2503.21683,2503.22424,2503.22708,2503.23415,2504.00255,2504.00824,2504.02867,2504.02965,2504.03561,2504.07385,2504.08525,2504.08725,2504.09737,2504.10127,2504.11536,2504.12330,2504.12734,2504.13472,2504.13847,2504.14597,2504.14928"
"Evaluate and grade students' class work, laboratory work, assignments, and papers.","Engineering Teachers, Postsecondary",39,"2303.09031,2305.18323,2308.05935,2309.08112,2309.17452,2310.01420,2310.19998,2311.08166,2312.08926,2401.04259,2402.01030,2402.09216,2402.11451,2403.13002,2404.07963,2404.17460,2405.13034,2406.03486,2406.11709,2406.19226,2407.21170,2408.05346,2409.03512,2409.07372,2410.02165,2411.00816,2411.01114,2411.07407,2412.10415,2412.14161,2501.00224,2501.01205,2502.04644,2502.14767,2503.07044,2503.08506,2504.00255,2504.06260,2504.14928"
"Evaluate and grade students' class work, laboratory work, assignments, and papers.","Environmental Science Teachers, Postsecondary",21,"2304.00116,2309.08112,2401.04259,2402.01788,2402.11451,2403.04382,2404.07963,2404.13050,2404.17460,2407.21170,2409.03512,2409.12411,2410.02165,2411.06159,2411.07407,2412.10415,2501.02031,2502.01390,2502.04644,2502.14767,2503.00566"
"Evaluate and grade students' class work, laboratory work, assignments, and papers.","Physics Teachers, Postsecondary",49,"2308.05935,2309.08112,2309.12161,2310.00280,2310.01420,2311.08166,2312.08926,2401.04259,2401.17464,2402.09216,2402.11451,2402.12914,2403.04382,2403.15729,2404.06762,2404.07963,2406.11277,2406.17987,2406.19226,2406.19643,2407.12821,2407.21170,2408.06292,2408.15232,2409.00054,2409.03512,2409.07372,2409.08406,2410.02165,2410.07076,2410.08475,2410.12853,2411.05423,2411.07407,2411.11910,2412.14161,2412.15701,2412.16172,2502.11271,2502.11799,2502.14767,2502.19400,2503.08506,2504.01911,2504.08066,2504.09737,2504.09781,2504.13472,2504.14928"
"Evaluate applications, records, or documents to gather information about eligibility or liability issues.",Compliance Officers,38,"2304.09991,2306.16092,2311.03220,2402.01053,2402.01737,2402.04411,2402.12914,2402.14871,2403.02959,2404.13050,2405.04118,2405.04325,2406.17987,2406.19228,2408.08089,2408.09785,2408.15879,2409.00557,2409.19006,2410.02507,2410.07677,2410.11507,2410.12848,2410.14152,2410.19727,2412.04141,2412.09796,2412.11063,2412.14161,2412.16943,2501.02031,2502.05439,2502.06882,2502.18228,2502.18531,2502.18873,2504.05104,2504.11243"
Evaluate chemical equipment and processes to identify ways to optimize performance or to ensure compliance with safety and environmental regulations.,Chemical Engineers,38,"2304.04370,2304.05332,2305.16653,2308.01423,2311.08166,2311.08803,2401.05507,2401.17244,2403.13002,2405.00972,2406.13163,2406.17987,2407.12821,2407.17695,2408.01380,2408.12036,2409.00135,2410.06384,2410.07076,2410.09034,2410.16658,2410.19811,2410.21312,2411.01114,2412.12898,2412.16172,2501.00224,2501.01205,2501.08406,2502.04306,2502.07373,2502.13959,2503.17753,2504.05527,2504.06260,2504.09602,2504.14110,2504.16918"
"Evaluate code to ensure that it is valid, is properly structured, meets industry standards, and is compatible with browsers, devices, or operating systems.",Web Developers,318,"2302.04761,2302.10850,2302.11649,2303.17491,2304.00416,2304.07297,2304.08103,2305.05091,2305.13068,2306.01729,2306.03460,2306.07209,2306.07906,2307.07924,2307.12856,2308.08155,2308.11601,2309.00986,2309.08172,2309.11436,2309.12161,2309.12276,2310.00092,2310.02170,2310.03714,2310.06272,2310.08101,2310.08535,2310.08740,2310.13227,2310.17140,2310.19998,2311.05437,2311.05657,2311.06622,2311.07076,2311.08803,2311.09818,2311.17371,2311.18751,2312.03664,2312.06677,2312.11242,2312.13010,2312.17025,2401.01614,2401.02777,2401.05268,2401.05507,2401.06201,2401.12178,2401.13649,2401.13919,2401.15724,2401.16158,2401.16788,2402.01030,2402.01469,2402.03610,2402.04253,2402.05930,2402.10051,2402.10178,2402.11359,2402.11453,2402.11941,2402.12275,2402.12326,2402.12914,2402.14320,2402.14658,2402.14672,2402.14851,2402.15057,2402.16333,2402.16823,2403.02502,2403.02713,2403.03031,2403.03481,2403.04746,2403.04783,2403.08140,2403.08978,2403.11886,2403.11905,2403.14403,2403.14589,2403.16854,2403.19962,2404.01342,2404.01744,2404.02183,2404.03648,2404.05902,2404.07439,2404.09127,2404.09248,2404.09339,2404.10887,2404.13050,2404.18130,2405.00516,2405.01868,2405.04219,2405.05955,2405.06691,2405.11403,2405.13009,2405.14125,2405.15793,2405.16533,2405.17402,2405.18358,2405.20309,2406.01014,2406.01422,2406.02818,2406.03486,2406.04151,2406.04712,2406.07054,2406.07155,2406.08979,2406.10803,2406.11176,2406.11277,2406.11317,2406.11555,2406.11709,2406.12276,2406.12692,2406.13381,2406.13408,2406.13840,2406.14550,2406.16714,2406.17231,2406.19228,2407.01476,2407.06426,2407.12821,2407.12871,2407.14402,2407.15711,2407.16741,2407.21040,2408.00203,2408.01380,2408.01633,2408.03910,2408.07060,2408.11058,2408.14033,2408.16991,2409.00608,2409.00985,2409.01392,2409.04617,2409.07429,2409.09013,2409.09584,2409.12147,2409.13449,2409.15364,2409.15594,2409.16120,2409.16220,2410.01215,2410.01242,2410.01428,2410.02089,2410.02958,2410.03439,2410.06153,2410.06949,2410.08115,2410.08164,2410.08328,2410.09407,2410.11507,2410.12848,2410.13181,2410.13232,2410.13757,2410.13825,2410.14262,2410.14594,2410.14627,2410.16232,2410.17236,2410.18963,2410.21067,2410.22457,2410.22552,2410.22916,2410.22932,2410.24032,2411.00427,2411.01643,2411.01747,2411.02337,2411.03397,2411.04329,2411.04535,2411.07464,2411.10753,2411.11581,2411.13451,2411.14497,2411.15004,2411.19547,2412.04141,2412.09429,2412.09605,2412.10419,2412.10434,2412.10742,2412.11713,2412.14161,2412.15701,2412.16682,2412.17061,2412.17149,2412.17867,2412.18072,2412.18093,2412.19723,2412.20005,2412.21139,2501.00224,2501.00430,2501.01702,2501.04575,2501.05255,2501.06189,2501.07572,2501.13896,2501.13946,2501.14082,2501.14731,2501.16607,2501.18816,2501.18922,2502.01344,2502.02067,2502.02533,2502.04306,2502.05036,2502.05664,2502.05957,2502.06205,2502.07128,2502.07373,2502.07487,2502.08820,2502.11140,2502.11404,2502.11705,2502.11799,2502.12561,2502.12929,2502.13298,2502.13310,2502.13311,2502.13681,2502.14499,2502.14693,2502.14848,2502.15690,2502.17651,2502.17924,2502.18407,2502.18873,2503.02197,2503.04787,2503.04875,2503.05592,2503.07044,2503.09089,2503.10689,2503.11237,2503.14269,2503.14484,2503.16814,2503.16874,2503.18492,2503.18494,2503.19271,2503.20201,2503.20279,2503.20978,2503.21760,2503.22424,2503.22473,2503.22708,2504.00255,2504.00406,2504.02051,2504.03160,2504.08525,2504.08725,2504.09407,2504.09723,2504.10055,2504.10127,2504.10458,2504.11788,2504.12477,2504.12563,2504.12682,2504.12734,2504.13472,2504.14239,2504.14538,2504.14597,2504.16073,2504.17192"
